account_id,account_number_hash,account_type,account_holder_person_id,account_holder_organization_id,financial_institution,branch_code,account_opening_date,account_closing_date,status,source_id,confidence_score,created_at,updated_at
A00168,ACCT3296364529,Business,P00673,,Bank of Baroda,BR4194,2023-09-10,,Active,SRC012,0.86,2025-09-24 15:52:38,2026-03-07 01:32:43
A00169,ACCT5312419523,Savings,P01900,,ICICI Bank,BR4630,2023-06-28,,Dormant,SRC023,0.91,2026-05-20 03:14:07,2026-05-28 02:14:07
A00170,ACCT1950923324,Savings,P01594,,State Bank of India,BR9409,2024-02-27,2025-11-21,Active,SRC026,0.96,2024-05-29 16:23:21,2025-01-15 04:45:54
A00171,ACCT5221958704,Business,P00969,,Bank of Baroda,BR4143,2018-12-29,,Dormant,SRC022,0.89,2026-05-24 12:59:39,2026-05-31 06:59:39
A00172,ACCT8356564486,Current,,O0418,HDFC Bank,BR8901,2019-08-31,,Dormant,SRC025,0.86,2026-08-04 03:50:51,2026-08-17 15:50:51
A00173,ACCT2765805742,Business,P00826,,ICICI Bank,BR1007,2025-03-07,,Under Review,SRC024,0.94,2024-12-02 08:33:12,2026-03-02 17:35:12
A00174,ACCT1648033227,Savings,P01892,,HDFC Bank,BR7962,2019-05-05,,Closed,SRC026,0.87,2024-07-06 08:13:26,2026-04-05 04:22:35
A00175,ACCT9071681757,Business,,O0244,State Bank of India,BR6406,2024-09-23,,Under Review,SRC018,0.96,2024-04-02 21:30:14,2026-04-13 16:29:56
A00176,ACCT2270257857,Current,P01097,,Axis Bank,BR8719,2025-06-09,,Active,SRC005,0.98,2025-04-27 02:57:21,2026-02-28 03:35:34
A00177,ACCT5995080527,Current,P03305,,State Bank of India,BR5930,2024-03-01,,Under Review,SRC027,0.93,2024-10-26 20:50:45,2024-11-04 17:09:14
A00178,ACCT6089151995,Current,P03079,,Axis Bank,BR7117,2022-01-16,,Dormant,SRC019,0.84,2024-07-15 18:16:00,2024-11-25 23:14:00
A00179,ACCT6483099938,Current,P00876,,Axis Bank,BR2868,2022-01-13,,Closed,SRC027,0.96,2025-10-16 18:15:02,2025-10-30 02:15:02
A00180,ACCT6376889929,Business,P01790,,ICICI Bank,BR1617,2020-02-26,,Active,SRC012,0.88,2024-10-19 02:09:42,2025-02-21 15:39:56
A00181,ACCT6528510606,Current,P02146,,Bank of Baroda,BR8221,2022-08-06,,Under Review,SRC021,0.81,2026-03-04 06:30:42,2026-04-19 09:12:18
A00182,ACCT9777715441,Current,P02345,,HDFC Bank,BR3538,2026-02-26,,Under Review,SRC021,0.83,2026-01-24 12:00:31,2026-02-14 00:00:31
A00183,ACCT9830238214,Business,P02621,,State Bank of India,BR1203,2023-02-19,,Dormant,SRC007,0.9,2024-11-06 01:02:13,2024-12-05 07:02:13
A00184,ACCT5416338823,Current,P02998,,State Bank of India,BR5787,2019-10-27,,Active,SRC013,0.95,2024-11-05 07:07:52,2024-11-23 15:07:52
A00185,ACCT5432469460,Business,P03735,,Axis Bank,BR4185,2021-11-16,2025-09-04,Under Review,SRC006,0.85,2024-04-05 18:01:59,2024-12-08 16:53:11
A00186,ACCT7015646746,Current,P02347,,Bank of Baroda,BR1197,2019-03-04,2025-03-20,Closed,SRC016,0.9,2024-03-09 13:38:00,2024-07-16 14:41:58
A00187,ACCT1488949215,Savings,,O0294,Axis Bank,BR7924,2021-12-12,,Under Review,SRC022,0.8,2026-07-10 07:57:14,2026-07-21 16:57:14
A00188,ACCT1924232914,Current,P00770,,HDFC Bank,BR7596,2018-11-11,,Dormant,SRC007,0.89,2024-09-18 01:27:33,2025-05-24 00:17:08
A00189,ACCT8716467234,Business,P01076,,State Bank of India,BR9686,2025-03-06,2025-09-24,Under Review,SRC005,0.94,2024-05-16 14:16:53,2026-03-13 00:28:49
A00190,ACCT8439820261,Business,P01069,,ICICI Bank,BR5770,2019-03-23,,Dormant,SRC017,0.94,2026-06-04 01:39:08,2026-07-02 15:39:08
A00191,ACCT6751952005,Current,P03513,,Punjab National Bank,BR6322,2019-09-04,,Closed,SRC008,0.8,2026-02-01 05:39:30,2026-02-14 18:39:30
A00192,ACCT6140603314,Business,P02796,,ICICI Bank,BR5204,2025-04-01,,Active,SRC006,0.97,2024-03-10 20:17:45,2026-08-24 16:30:28
A00193,ACCT7311390263,Savings,P03596,,ICICI Bank,BR9225,2018-09-24,,Dormant,SRC029,0.89,2026-04-02 21:24:08,2026-04-27 02:24:08
A00194,ACCT6645300946,Savings,P01975,,Punjab National Bank,BR5593,2023-04-15,,Active,SRC007,0.83,2026-06-23 02:49:49,2026-07-15 09:49:49
A00195,ACCT5636945549,Savings,,O0466,HDFC Bank,BR8364,2020-12-16,,Active,SRC023,0.85,2024-09-06 19:51:35,2025-08-20 14:38:30
A00196,ACCT7141003844,Business,P01355,,Axis Bank,BR6648,2019-09-11,,Dormant,SRC009,0.87,2025-08-26 20:18:06,2026-04-15 16:40:17
A00197,ACCT4392427710,Business,,O0331,State Bank of India,BR4831,2026-05-27,,Dormant,SRC008,0.93,2024-02-13 21:50:20,2024-09-03 07:55:14
A00198,ACCT9596260412,Current,P00627,,Axis Bank,BR7096,2018-09-11,,Active,SRC003,0.99,2026-01-10 23:39:08,2026-02-07 05:39:08
A00199,ACCT2941850379,Business,P00894,,HDFC Bank,BR8678,2019-09-29,,Dormant,SRC028,0.94,2024-03-02 14:37:58,2024-03-08 10:37:58
A00200,ACCT3975459940,Savings,,O0462,Axis Bank,BR6028,2023-05-11,,Under Review,SRC013,0.93,2024-11-21 21:34:10,2025-06-06 23:32:56
A00201,ACCT9342725282,Current,P00929,,Punjab National Bank,BR7098,2025-02-14,,Under Review,SRC015,0.94,2025-02-16 03:06:53,2025-03-03 12:06:53
A00202,ACCT4833736521,Current,P02775,,State Bank of India,BR4452,2024-09-24,,Active,SRC022,0.97,2024-06-21 11:16:53,2024-07-08 02:16:53
A00203,ACCT7783680734,Savings,P02972,,ICICI Bank,BR7124,2018-07-12,2026-02-09,Under Review,SRC021,0.82,2024-03-21 04:38:13,2024-12-31 06:46:02
A00204,ACCT3406940534,Current,P02804,,State Bank of India,BR9329,2019-04-18,2026-06-26,Dormant,SRC023,0.82,2025-12-31 11:33:59,2026-01-12 05:33:59
A00205,ACCT5371689302,Savings,P02539,,Punjab National Bank,BR2628,2020-01-15,,Closed,SRC023,0.92,2025-02-24 23:16:40,2025-09-20 06:28:33
A00206,ACCT7385280225,Current,,O0160,State Bank of India,BR1308,2023-09-08,,Active,SRC017,0.93,2024-02-18 14:23:29,2025-03-17 18:30:56
A00207,ACCT3422017386,Business,P00567,,ICICI Bank,BR1423,2020-12-10,,Dormant,SRC019,0.93,2025-04-10 05:00:16,2025-04-16 15:00:16
A00208,ACCT1038743175,Business,P00057,,ICICI Bank,BR5824,2018-05-31,,Dormant,SRC024,0.82,2026-08-09 09:59:27,2026-08-23 02:59:27
A00209,ACCT3785721032,Savings,P01918,,Punjab National Bank,BR3884,2021-06-06,,Dormant,SRC020,0.84,2026-07-31 16:32:21,2026-08-26 07:03:32
A00210,ACCT6592599643,Current,P01666,,Bank of Baroda,BR3330,2018-11-04,,Under Review,SRC002,0.95,2024-03-16 06:35:43,2024-11-09 14:06:00
A00211,ACCT6792446352,Savings,P02634,,HDFC Bank,BR1374,2025-05-24,,Under Review,SRC003,0.89,2026-02-11 19:29:11,2026-05-17 23:35:24
A00212,ACCT1121073667,Savings,,O0226,Bank of Baroda,BR5883,2019-01-22,2025-03-20,Closed,SRC010,0.81,2026-06-18 06:11:22,2026-07-13 19:11:22
A00213,ACCT2954398132,Business,,O0246,Bank of Baroda,BR3082,2020-12-21,,Active,SRC004,0.91,2024-02-10 08:16:46,2025-06-25 10:57:12
A00214,ACCT8761363012,Business,P02280,,HDFC Bank,BR8062,2021-10-21,2025-01-03,Active,SRC024,0.87,2026-04-19 15:52:52,2026-05-16 03:52:52
A00215,ACCT5313267397,Business,P03289,,Bank of Baroda,BR8695,2025-03-19,,Dormant,SRC017,0.81,2026-05-12 15:17:51,2026-06-02 14:17:51
A00216,ACCT8586424759,Current,P03172,,Punjab National Bank,BR9421,2021-05-15,,Closed,SRC004,0.81,2024-01-05 14:21:33,2024-10-15 00:10:54
A00217,ACCT6027967960,Current,P03961,,ICICI Bank,BR2445,2023-08-13,,Active,SRC004,0.91,2024-07-12 22:12:28,2024-07-30 18:12:28
A00218,ACCT7613548868,Business,,O0031,State Bank of India,BR4652,2017-08-27,,Active,SRC013,0.8,2026-03-27 14:23:38,2026-08-07 10:46:43
A00219,ACCT4139540669,Current,P00941,,State Bank of India,BR2212,2018-10-20,,Under Review,SRC030,0.8,2025-12-15 03:46:55,2026-05-24 12:22:49
A00220,ACCT7585659394,Business,P00838,,ICICI Bank,BR8353,2017-09-28,,Dormant,SRC004,0.85,2025-06-07 19:55:55,2026-04-14 03:56:28
A00221,ACCT5942064351,Business,P01959,,Axis Bank,BR2987,2025-04-03,,Dormant,SRC029,0.8,2024-05-10 16:32:21,2026-02-02 11:00:22
A00222,ACCT8376911672,Current,,O0383,ICICI Bank,BR7741,2021-01-07,,Under Review,SRC030,0.95,2024-02-01 11:47:44,2026-08-10 14:38:09
A00223,ACCT3792457129,Business,P01280,,Bank of Baroda,BR8889,2022-05-24,,Dormant,SRC003,0.82,2026-07-20 07:23:33,2026-07-25 14:23:33
A00224,ACCT8703834431,Savings,P00382,,Axis Bank,BR9091,2018-07-01,,Dormant,SRC030,0.87,2025-04-30 16:45:36,2025-09-10 05:28:56
A00225,ACCT1148395709,Current,,O0046,Bank of Baroda,BR2724,2020-02-01,,Closed,SRC013,0.87,2025-06-04 20:42:38,2025-06-18 07:42:38
A00226,ACCT8735222348,Savings,P02084,,Bank of Baroda,BR2650,2018-05-18,,Closed,SRC022,0.89,2025-05-25 08:03:43,2025-06-09 20:03:43
A00227,ACCT2920351451,Savings,P03687,,State Bank of India,BR2724,2017-08-08,,Under Review,SRC005,0.8,2026-05-20 19:45:41,2026-05-28 14:45:41
A00228,ACCT4412999337,Savings,,O0191,Punjab National Bank,BR9195,2024-08-07,,Closed,SRC020,0.88,2025-11-18 09:13:37,2025-12-07 03:13:37
A00229,ACCT1837600909,Current,P01081,,State Bank of India,BR7358,2020-07-04,,Closed,SRC024,0.88,2024-08-06 09:50:55,2025-06-15 13:08:50
A00230,ACCT5659664860,Current,P02403,,HDFC Bank,BR2840,2023-08-22,,Under Review,SRC008,0.81,2025-06-06 09:43:30,2025-06-11 05:43:30
A00231,ACCT9531662430,Current,P03804,,Punjab National Bank,BR4984,2023-05-28,,Dormant,SRC024,0.83,2026-03-10 16:15:09,2026-04-06 02:15:09
A00232,ACCT8275425793,Current,P02854,,Punjab National Bank,BR4376,2021-11-21,,Closed,SRC011,0.96,2024-06-02 22:31:47,2026-05-10 06:40:54
A00233,ACCT6670716356,Savings,,O0067,Axis Bank,BR5895,2021-08-15,2024-10-09,Closed,SRC021,0.99,2025-10-14 13:38:54,2025-11-12 20:38:54
A00234,ACCT5258025548,Savings,P02485,,ICICI Bank,BR8390,2020-07-08,,Dormant,SRC002,0.98,2025-06-22 01:38:14,2025-07-02 15:38:14
A00235,ACCT5870749776,Current,P02744,,ICICI Bank,BR8653,2018-01-12,,Active,SRC004,0.8,2025-11-06 23:30:46,2025-11-28 20:30:46
A00236,ACCT8859340632,Current,P01732,,HDFC Bank,BR1399,2017-10-16,,Under Review,SRC020,0.86,2025-09-05 03:42:39,2025-09-28 17:42:39
A00237,ACCT4935664626,Current,P02542,,Bank of Baroda,BR9477,2019-08-22,,Dormant,SRC029,0.95,2024-07-19 21:06:12,2026-08-08 11:54:07
A00238,ACCT4669976585,Business,,O0441,Axis Bank,BR6263,2025-05-13,,Active,SRC024,0.91,2025-05-12 03:56:48,2026-01-07 13:33:20
A00239,ACCT5561240526,Business,P03483,,Axis Bank,BR8038,2017-04-26,,Closed,SRC005,0.87,2025-12-06 02:39:16,2025-12-24 22:39:16
A00240,ACCT4697417980,Current,P01954,,Axis Bank,BR9332,2025-01-09,,Under Review,SRC009,0.92,2025-02-11 17:15:14,2025-02-21 16:15:14
A00241,ACCT7702435323,Current,P03339,,HDFC Bank,BR4464,2017-10-10,,Closed,SRC012,0.87,2024-03-19 05:59:28,2025-07-12 04:33:08
A00242,ACCT8715732769,Savings,,O0446,HDFC Bank,BR7470,2025-06-28,,Active,SRC014,0.84,2025-01-13 19:41:57,2025-12-15 00:52:19
A00243,ACCT9270571882,Current,P00383,,Punjab National Bank,BR3836,2021-05-16,,Closed,SRC011,0.84,2026-02-22 17:46:28,2026-02-27 11:46:28
A00244,ACCT7988472020,Current,P00558,,Punjab National Bank,BR2626,2024-06-01,,Dormant,SRC013,0.91,2026-03-27 13:54:46,2026-03-27 18:54:46
A00245,ACCT9095494379,Current,,O0208,State Bank of India,BR9662,2024-12-19,,Under Review,SRC028,0.87,2024-10-19 02:18:19,2026-03-26 01:17:33
A00246,ACCT1600770033,Business,P01690,,HDFC Bank,BR9011,2025-06-06,,Active,SRC026,0.83,2024-10-02 12:24:59,2026-05-22 11:05:22
A00247,ACCT5300927330,Business,P00458,,Axis Bank,BR5340,2016-10-20,,Closed,SRC019,0.87,2025-01-26 09:09:03,2025-12-22 08:57:06
A00248,ACCT1881543027,Current,P03758,,Bank of Baroda,BR7901,2020-11-12,,Dormant,SRC005,0.86,2026-05-04 12:03:55,2026-05-21 19:03:55
A00249,ACCT9903158477,Savings,,O0075,HDFC Bank,BR2941,2016-09-05,,Closed,SRC004,0.95,2024-03-06 22:31:37,2025-12-17 12:43:53
A00250,ACCT1514218251,Business,P02037,,State Bank of India,BR7706,2025-12-08,,Dormant,SRC030,0.91,2024-09-04 00:04:15,2025-12-21 13:59:35
A00251,ACCT1736408246,Savings,P03506,,HDFC Bank,BR8788,2020-06-12,,Under Review,SRC025,0.81,2025-02-27 02:20:39,2026-06-21 16:40:48
A00252,ACCT4238576622,Business,P03742,,State Bank of India,BR6642,2021-05-07,,Closed,SRC012,0.94,2026-04-01 13:17:28,2026-04-26 11:17:28
A00253,ACCT6192674501,Savings,P00935,,Punjab National Bank,BR7237,2025-04-30,,Under Review,SRC023,0.92,2024-05-08 19:43:15,2024-12-30 03:31:19
A00254,ACCT5637359383,Savings,P00935,,Axis Bank,BR8096,2022-01-10,,Dormant,SRC011,0.96,2025-01-07 02:46:36,2026-02-27 18:37:42
A00255,ACCT8114535983,Current,P03075,,Axis Bank,BR6796,2025-06-15,,Dormant,SRC029,0.99,2026-07-29 22:04:06,2026-08-04 21:04:06
A00256,ACCT1049871981,Savings,,O0041,State Bank of India,BR9049,2019-07-29,,Dormant,SRC002,0.95,2025-07-23 03:35:18,2025-07-27 17:35:18
A00257,ACCT1834376244,Current,P01903,,HDFC Bank,BR4880,2023-10-17,,Dormant,SRC023,0.94,2024-07-12 06:10:13,2024-08-11 06:10:13
A00258,ACCT1349410984,Current,,O0006,Axis Bank,BR5163,2025-06-13,,Dormant,SRC016,0.86,2025-05-14 00:46:17,2026-07-24 03:03:36
A00259,ACCT2184451947,Current,P01633,,Bank of Baroda,BR9196,2022-04-03,,Active,SRC029,0.91,2024-04-01 01:42:14,2024-07-04 15:39:05
A00260,ACCT7195587850,Business,P01914,,Bank of Baroda,BR6696,2018-10-18,2025-06-02,Under Review,SRC001,0.91,2024-04-15 02:01:23,2025-02-12 21:33:46
A00261,ACCT1175635775,Savings,P02044,,State Bank of India,BR5512,2025-08-08,,Active,SRC005,0.82,2025-11-07 05:31:44,2025-11-26 16:31:44
A00262,ACCT6330427069,Current,P03151,,ICICI Bank,BR5115,2018-08-08,,Dormant,SRC028,0.92,2024-07-01 12:25:35,2024-07-24 06:25:35
A00263,ACCT7968186711,Business,P00965,,Axis Bank,BR5847,2020-03-23,,Dormant,SRC028,0.85,2024-07-10 14:34:45,2024-09-07 15:39:35
A00264,ACCT2969282294,Savings,P02014,,Axis Bank,BR2158,2026-08-04,,Closed,SRC007,0.84,2025-06-28 04:15:17,2025-11-07 07:50:20
A00265,ACCT6224162784,Savings,P02679,,Bank of Baroda,BR9363,2021-02-03,,Closed,SRC007,0.94,2026-07-14 13:42:21,2026-07-19 11:42:21
A00266,ACCT1145212868,Current,P00784,,Axis Bank,BR8643,2023-02-10,,Active,SRC025,0.91,2024-02-02 02:49:41,2026-05-06 21:06:35
A00267,ACCT8905731430,Business,P02612,,State Bank of India,BR4612,2024-08-02,,Under Review,SRC003,0.84,2025-12-18 08:32:47,2026-01-02 23:32:47
A00268,ACCT2313869160,Savings,P00010,,Punjab National Bank,BR4198,2017-01-01,,Active,SRC004,0.96,2026-04-17 07:49:16,2026-05-10 22:49:16
A00269,ACCT1201060627,Business,P02652,,ICICI Bank,BR6693,2026-05-29,,Closed,SRC014,0.86,2024-05-27 09:25:44,2025-05-15 09:45:13
A00270,ACCT7321681216,Current,P03532,,ICICI Bank,BR9423,2019-02-26,,Closed,SRC009,0.83,2025-09-25 08:29:53,2025-12-07 15:32:41
A00271,ACCT9550899509,Savings,P00282,,ICICI Bank,BR9550,2021-12-15,,Dormant,SRC013,0.88,2025-11-06 00:30:06,2025-11-20 16:30:06
A00272,ACCT9487334414,Current,P03949,,Axis Bank,BR3545,2020-02-27,,Active,SRC012,0.97,2026-03-11 19:26:57,2026-03-30 10:26:57
A00273,ACCT1478174964,Savings,P01362,,Punjab National Bank,BR1688,2025-01-16,,Dormant,SRC011,0.84,2024-11-02 02:40:44,2026-05-09 08:39:11
A00274,ACCT3928545045,Savings,P00407,,Axis Bank,BR9072,2021-05-23,,Dormant,SRC008,0.82,2025-09-04 17:29:19,2025-09-13 00:29:19
A00275,ACCT4799141688,Business,P03066,,ICICI Bank,BR7465,2017-10-22,,Active,SRC019,0.8,2025-04-29 02:39:57,2025-06-04 19:53:13
A00276,ACCT3355082786,Savings,P01184,,Axis Bank,BR3939,2022-11-25,,Active,SRC015,0.85,2024-11-23 08:49:59,2025-04-04 03:35:34
A00277,ACCT1741436574,Savings,,O0373,Axis Bank,BR7075,2025-05-24,,Under Review,SRC019,0.83,2025-10-14 23:25:05,2025-10-26 10:25:05
A00278,ACCT5031315001,Savings,,O0440,Axis Bank,BR1820,2021-07-14,,Dormant,SRC017,0.95,2025-03-20 04:56:21,2026-02-07 14:47:45
A00279,ACCT4889429965,Current,P01729,,ICICI Bank,BR9056,2017-12-21,,Active,SRC009,0.99,2025-10-29 01:30:06,2026-03-08 05:10:00
A00280,ACCT9855364414,Savings,,O0095,State Bank of India,BR4735,2019-05-03,2026-05-15,Closed,SRC023,0.81,2026-05-11 03:02:47,2026-05-24 01:02:47
A00281,ACCT9772733858,Savings,P01441,,Axis Bank,BR7229,2017-08-05,,Active,SRC021,0.95,2024-12-02 20:42:10,2024-12-17 08:42:10
A00282,ACCT6552970653,Savings,P03216,,ICICI Bank,BR2249,2021-07-03,,Under Review,SRC007,0.87,2025-05-13 00:23:45,2025-05-19 01:23:45
A00283,ACCT2578453835,Savings,P03823,,Punjab National Bank,BR4785,2022-11-21,,Under Review,SRC010,0.82,2025-02-02 20:44:53,2025-03-03 02:44:53
A00284,ACCT2221177867,Business,P00689,,HDFC Bank,BR4998,2016-10-17,2025-05-11,Dormant,SRC002,0.88,2026-01-16 14:19:24,2026-01-30 08:19:24
A00285,ACCT2457584657,Business,P02164,,State Bank of India,BR4116,2024-04-05,,Active,SRC018,0.97,2024-05-05 11:58:45,2024-12-24 20:03:57
A00286,ACCT1048782226,Business,,O0072,Bank of Baroda,BR5834,2024-04-17,,Closed,SRC027,0.85,2026-07-14 04:55:21,2026-08-01 03:55:21
A00287,ACCT9975341584,Business,P00501,,Axis Bank,BR3262,2024-11-11,,Dormant,SRC016,0.87,2024-11-19 12:25:51,2024-11-26 11:25:51
A00288,ACCT6990579893,Business,,O0081,ICICI Bank,BR1768,2026-07-09,,Dormant,SRC013,0.91,2024-06-02 11:08:05,2026-05-04 10:20:28
A00289,ACCT6483882594,Savings,P00920,,State Bank of India,BR9328,2022-05-21,2026-07-24,Closed,SRC014,0.87,2025-11-18 16:03:06,2025-11-28 13:03:06
A00290,ACCT5306820886,Savings,P02852,,Punjab National Bank,BR4577,2016-10-23,,Closed,SRC021,0.85,2024-11-29 17:03:52,2025-01-10 09:37:19
A00291,ACCT2710631629,Business,P02554,,HDFC Bank,BR5103,2017-06-10,,Active,SRC029,0.97,2024-01-25 14:54:19,2026-06-18 01:01:42
A00292,ACCT7402003273,Current,P03540,,ICICI Bank,BR1739,2021-05-21,,Under Review,SRC018,0.88,2025-03-22 00:57:05,2025-03-31 23:57:05
A00293,ACCT7406610523,Current,P01865,,Axis Bank,BR5426,2024-06-12,,Closed,SRC026,0.96,2024-10-05 23:04:14,2025-01-23 19:45:00
A00294,ACCT5994311338,Current,P02720,,Bank of Baroda,BR3043,2017-08-30,,Dormant,SRC013,0.83,2026-01-25 17:53:41,2026-02-28 18:03:55
A00295,ACCT3166709675,Savings,P00074,,Axis Bank,BR6852,2017-02-15,,Closed,SRC014,0.95,2026-05-24 01:21:04,2026-05-28 05:21:04
A00296,ACCT6743254509,Savings,P03946,,Bank of Baroda,BR6913,2019-08-13,,Closed,SRC002,0.96,2025-02-28 09:17:47,2025-03-12 16:17:47
A00297,ACCT9089817310,Savings,P00552,,ICICI Bank,BR2616,2018-12-02,,Active,SRC014,0.97,2024-08-27 17:41:13,2024-09-22 04:41:13
A00298,ACCT4314879951,Savings,,O0444,HDFC Bank,BR6103,2026-06-16,,Active,SRC013,0.91,2025-07-14 20:11:18,2025-07-22 02:11:18
A00299,ACCT3704591569,Savings,P00250,,ICICI Bank,BR3743,2018-01-17,,Closed,SRC020,0.9,2026-02-12 21:33:21,2026-03-14 02:33:21
A00300,ACCT2387418082,Business,P01213,,Axis Bank,BR4291,2025-10-28,,Closed,SRC018,0.87,2024-09-16 05:35:27,2025-04-12 19:55:12
A00301,ACCT4063885119,Savings,P01434,,Punjab National Bank,BR4996,2023-06-26,,Active,SRC019,0.98,2024-02-23 07:49:58,2024-08-21 15:55:01
A00302,ACCT6436305819,Current,P03844,,Punjab National Bank,BR9138,2026-02-19,,Dormant,SRC020,0.98,2025-01-27 11:35:15,2025-09-11 05:07:43
A00303,ACCT8053773391,Savings,P01591,,State Bank of India,BR3462,2018-07-24,,Dormant,SRC017,0.86,2025-07-14 11:21:35,2025-12-10 05:03:08
A00304,ACCT5075635074,Savings,P02185,,Punjab National Bank,BR3803,2017-10-18,,Closed,SRC024,0.98,2026-06-03 21:47:39,2026-06-19 13:47:39
A00305,ACCT8054287166,Current,P01259,,HDFC Bank,BR8905,2025-07-05,,Dormant,SRC004,0.96,2026-07-24 16:13:18,2026-08-09 13:13:18
A00306,ACCT3716283341,Business,P01671,,HDFC Bank,BR5232,2022-07-17,,Under Review,SRC030,0.96,2024-12-24 22:10:08,2025-01-18 03:10:08
A00307,ACCT7547398876,Business,P02117,,Axis Bank,BR8466,2017-07-31,,Closed,SRC028,0.8,2025-04-11 07:59:32,2026-05-03 10:42:18
A00308,ACCT2262711421,Current,P02734,,State Bank of India,BR2393,2018-10-08,,Dormant,SRC026,0.91,2026-04-23 21:58:40,2026-05-20 08:58:40
A00309,ACCT6849700671,Current,P02114,,Punjab National Bank,BR3384,2018-09-26,,Under Review,SRC023,0.81,2024-11-14 02:37:27,2026-06-30 20:25:51
A00310,ACCT2830682650,Business,P03025,,State Bank of India,BR6667,2019-01-07,,Active,SRC029,0.89,2024-01-09 19:51:41,2024-10-07 05:24:36
A00311,ACCT4164263634,Current,P01746,,Bank of Baroda,BR7848,2022-05-08,,Active,SRC006,0.9,2026-06-05 13:32:32,2026-07-01 19:32:32
A00312,ACCT1756309930,Savings,P00572,,Axis Bank,BR5789,2022-09-17,,Dormant,SRC025,0.86,2025-07-01 08:38:32,2025-07-09 05:38:32
A00313,ACCT3317719076,Business,P02380,,Punjab National Bank,BR8820,2023-10-19,,Under Review,SRC016,0.95,2025-02-24 01:18:51,2025-03-16 19:18:51
A00314,ACCT4844833818,Current,P01163,,Bank of Baroda,BR2214,2021-11-12,,Active,SRC025,0.95,2024-01-29 19:51:57,2025-03-18 21:58:12
A00315,ACCT2444920194,Current,P01334,,ICICI Bank,BR3818,2021-06-27,2025-03-07,Active,SRC009,0.82,2025-02-17 01:26:11,2025-09-26 18:35:31
A00316,ACCT5584125923,Current,,O0488,Punjab National Bank,BR1608,2016-11-29,,Active,SRC023,0.85,2024-08-03 04:44:44,2024-08-04 03:06:06
A00317,ACCT6686730112,Business,P00502,,HDFC Bank,BR1210,2024-01-10,,Under Review,SRC004,0.98,2024-09-07 12:10:50,2025-01-19 06:13:18
A00318,ACCT8666081768,Current,P01307,,HDFC Bank,BR7265,2025-05-18,,Under Review,SRC012,0.97,2026-08-28 01:29:47,2026-09-04 23:59:59
A00319,ACCT6164360122,Savings,P01741,,HDFC Bank,BR4691,2019-02-16,,Active,SRC009,0.83,2024-03-31 05:01:06,2025-07-23 03:58:37
A00320,ACCT3293019999,Business,P01219,,Punjab National Bank,BR2112,2018-03-01,,Under Review,SRC002,0.91,2024-06-08 11:06:09,2024-12-27 00:27:49
A00321,ACCT6379821693,Business,P01248,,ICICI Bank,BR4570,2018-12-20,,Closed,SRC022,0.89,2024-05-15 07:49:12,2025-06-28 23:34:40
A00322,ACCT4089546787,Savings,,O0034,HDFC Bank,BR3122,2017-12-27,2025-02-28,Dormant,SRC009,0.91,2026-04-05 00:38:41,2026-07-08 00:24:08
A00323,ACCT9910877134,Current,P02378,,Bank of Baroda,BR3981,2022-09-24,,Active,SRC029,0.98,2024-11-14 04:34:14,2025-06-18 09:35:17
A00324,ACCT7094567896,Current,,O0187,ICICI Bank,BR4517,2022-07-28,2026-08-12,Dormant,SRC014,0.83,2024-01-04 12:31:01,2024-09-30 05:39:36
A00325,ACCT4081924531,Business,P03705,,HDFC Bank,BR6042,2017-05-09,2024-11-08,Dormant,SRC029,0.92,2024-01-10 06:54:27,2026-08-09 19:42:42
A00326,ACCT6468236760,Current,P03673,,Axis Bank,BR9934,2019-05-10,2025-07-11,Active,SRC024,0.95,2026-08-08 16:06:46,2026-08-25 06:06:46
A00327,ACCT9982132249,Savings,,O0323,Axis Bank,BR4837,2023-09-08,,Dormant,SRC025,0.89,2024-11-03 13:53:46,2026-06-11 12:57:40
A00328,ACCT8185318738,Business,,O0099,State Bank of India,BR1098,2024-02-02,,Dormant,SRC010,0.84,2025-03-30 16:54:52,2025-08-16 05:00:58
A00329,ACCT5866504972,Business,P02916,,Axis Bank,BR4319,2016-12-04,,Under Review,SRC018,0.82,2024-12-30 02:13:27,2025-04-17 20:21:46
A00330,ACCT9158404171,Business,P03950,,HDFC Bank,BR2724,2018-11-02,,Dormant,SRC006,0.92,2025-04-23 01:53:13,2026-05-26 23:02:53
A00331,ACCT7832372274,Savings,P03149,,Axis Bank,BR6602,2018-03-29,,Active,SRC018,0.82,2024-03-15 02:16:11,2026-04-08 21:18:49
A00332,ACCT4124723290,Business,P00739,,ICICI Bank,BR5499,2023-01-02,,Dormant,SRC023,0.98,2026-03-27 07:51:45,2026-03-28 22:51:45
A00333,ACCT5054120686,Current,,O0384,Punjab National Bank,BR2429,2026-03-26,,Closed,SRC030,0.87,2025-10-19 11:29:14,2025-11-05 15:29:14
A00334,ACCT6357843810,Business,P03478,,ICICI Bank,BR7731,2024-03-05,,Under Review,SRC021,0.81,2025-09-11 17:57:53,2025-09-28 18:57:53
A00335,ACCT6339398758,Savings,P03460,,Punjab National Bank,BR2066,2019-06-14,,Under Review,SRC018,0.98,2025-09-12 19:24:12,2026-01-07 08:34:52
A00336,ACCT6229494956,Current,,O0152,Axis Bank,BR8462,2019-06-18,,Under Review,SRC022,0.94,2025-01-08 23:39:44,2026-05-28 09:50:00
